SchoolName,PhysicalAddress,PostalAddress,Email
Gapuwiyak School,"N/a, Gapuwiyak, NT","PMB 900, Via Winnellie, 0822, NT",christopher.oneill@education.nt.gov.au
Gapuwiyak Pre School,"N/A, Gapuwiyak, NT",", , , ",
Forrest Parade School,"120 Flynn Circuit, Bellamack, 0832, NT","120 Flynn Circuit, Bellamack, 0832, NT",admin.forrestps@education.nt.gov.au
Finke School,"N/A, Finke, NT","PMB 30, via Alice Springs, 0871, NT",finke.school@education.nt.gov.au
Families as First Teachers,"Mitchell St, Darwin, 0800, NT","GPO Box 4821, Darwin, 0801, NT",faft.doe@education.nt.gov.au
Elliott School,"91 Bray St, Elliott, NT","C/- Elliott Post Office, Elliott, 0862, NT",kevin.gaskin@education.nt.gov.au
Epenarra School,"N/A, Wutunugurra (Epenarra), NT","PMB 270, via Alice Springs, 0861, NT",jennifer.cadzow@education.nt.gov.au
Durack Primary School,"50 Woodlake Bvd, Durack, 0830, NT","PO Box  225, PALMERSTON, 0830, NT",durack.school@education.nt.gov.au
Durack Pre School,"50 Woodlake Blvd, Durack, NT",", , , ",
Dundee Beach School,"500 Namarada Dr, Dundee Beach, NT","PO Box 145, Dundee Beach, 0840, NT",dundee.school@education.nt.gov.au
Driver Primary School,"37 Driver Ave, Driver, 0830, NT","PO Box  33, PALMERSTON, 0831, NT",admin.drivesch@education.nt.gov.au
Driver Pre School,"37 Driver Ave, Driver, NT",", , , ",
Dripstone Middle School,"10 Delamere St, Tiwi, 0810, NT","PO Box  41370, CASUARINA, 0811, NT",dripstone.middle@education.nt.gov.au
Douglas Daly School,"Jungawa Rd, Douglas-Daly, NT","PMB 46, via Winnellie, 0822, NT",rosemary.sullivan@education.nt.gov.au
Dhupuma Barker,"116 Gunyangara Rd, Gunyangara, 0880, NT","PO Box 394, Nhulunbuy, 0881, NT",pheath@barker.nsw.edu.au
Darwin Middle School,"Atkins Drive, The Gardens, NT 0820, not available, NT","PO Box 2257, PARAP, 0804, NT",admin.darwinmiddle@education.nt.gov.au
Darwin Languages Centre,"1 Nemarluk Dr, Ludmilla, NT, NT","P O Box 822, Nightcliff, 0814, NT",dlc.nt@education.nt.gov.au
Clyde Fenton Pre School,"101 Giles St, Katherine, NT",", , , ",
Clyde Fenton Primary School,"101 Giles St, Katherine, 0850, NT","PO Box 421, KATHERINE, 0851, NT",admin.clydesch@education.nt.gov.au
Darwin High School,"10 Atkins Dr, The Gardens, 0820, NT","Bullocky Point, DARWIN, 0820, NT",darwin.high@education.nt.gov.au
Centralian Senior College,"10 Grevillea Drive, Alice Springs, 0870, NT","PO Box 4856, ALICE SPRINGS, 0871, NT",admin.centraliansc@education.nt.gov.au
Centralian Middle School,"56 Milner Rd, Alice Springs, 0870, NT","PO Box 1771, ALICE SPRINGS, 0871, NT",centralian.middle@education.nt.gov.au
Casuarina Street Primary School,"Casuarina St, Katherine East, 0850, NT","PO Box 1046, KATHERINE, 0851, NT",casuarina.admin@education.nt.gov.au
Casuarina Street Pre School,"Casuarina St, Katherine East, NT",", , , ",
Casuarina Senior College,"61 Parer Dr, Moil, 0810, NT","PO Box  40196, CASUARINA, 0811, NT",csc.admin@education.nt.gov.au
Canteen Creek School,"N/a, Canteen Creek, NT","PMB 105, via Alice Springs, 0872, NT",admin.cantesch@education.nt.gov.au
Bulman School,"N/A, Bulman, NT","PMB 13, Katherine, 0851, NT",adam.cox@education.nt.gov.au
Callistemon House,"80 Callistemon Dr, Katherine East, 0850, NT","PO Box 1971, Katherine East, 0851, NT",admin.callistemon@education.nt.gov.au
Bulla Camp School,"N/A, Bulla, NT","PMB 89, Katherine, 0851, NT",debbie.bailey1@education.nt.gov.au
Braitling Primary School,"80 Head St, Alice Springs, 0870, NT","PO Box  1669, ALICE SPRINGS, 0871, NT",admin.braitsch@education.nt.gov.au
Braitling Pre School,"80 Head St, Alice Springs, NT",", , , ",
Bradshaw Primary School,"23 Adamson Ave, Alice Springs, 0870, NT","PO Box 1744, ALICE SPRINGS, 0871, NT",bradshaw.school@education.nt.gov.au
Bradshaw Pre School,"23 Adamson Ave, Alice Springs, NT",", , , ",
Borroloola Pre School,"321 Robinson Road, Borroloola, NT",", , , ",
Bonya School,"Community ID 26, Orrtipa-Thurra (Bonya), NT","PMB 69, via Alice Springs, 0872, NT",ken.millar@education.nt.gov.au
Berry Springs Primary School,"1150 Cox Peninsula Rd, Berry Springs, 0838, NT","PO Box 135, Berry Springs, 0838, NT",berrysprings.primary@education.nt.gov.au
Borroloola School,"321 Robinson Rd, Borroloola, 0854, NT","PMB 5, Borroloola, 0854, NT",admin.borrosch@education.nt.gov.au
Berry Springs Pre School,"1150 Cox Peninsula Rd, Berry Springs, NT",", , , ",
Belyuen School,"N/A, Belyuen, NT","PMB 2, GPO Darwin, 0801, NT",natasha.koroi@education.nt.gov.au
Bees Creek Primary School,"20 Sattler Cres, Freds Pass, NT","PO Box 1500, Coolalinga, 0839, NT",bees.creek@education.nt.gov.au
Bees Creek Pre School,"20 Sattler Cres, Freds Pass, NT",", , , ",
Batchelor Pre School,"71 Kirra Cres, Batchelor, NT",", , , ",
Barunga School,"N/A, Barunga  (Bamyili), NT","PMB 117, via Katherine, 0851, NT",office.barunga@education.nt.gov.au
Batchelor Area School,"71 Kirra Cres, Batchelor, 0845, NT","c/-, Batchelor Post Office, 0845, NT",batchelor.as@education.nt.gov.au
Baniyala Garrangali School,"Yilpara Community, Yirrkala, 0880, NT","PO Box 1496, NHULUNBUY, 0881, NT",stephanie.valcanis@education.nt.gov.au
Bakewell Pre School,"5 Hutchison Tce, Bakewell, 0832, NT","tba, tba, 0832, ",
Bakewell Primary School,"1 Forrest Parade, Bakewell, 0832, NT","PO Box 1300, PALMERSTON, 0831, NT",admin.bakewell@education.nt.gov.au
Anula Primary School,"73 Yanyula Dr, Anula, 0812, NT","Yanyula Drive, ANULA, 0812, NT",anula.admin@education.nt.gov.au
Anula Pre School,"73 Yanyula Dr, Anula, NT",", , , ",
Angurugu School,"N/A, Angurugu, NT","PO Box 40, Alyangula, Groote Eylandt, 0885, NT",admin.angurcec@education.nt.gov.au
Angurugu Pre School,"N/A, Angurugu, NT",", , , ",
Amoonguna School,"N/A, Amoonguna, NT","PO Box  2529,, Alice Springs, 0871, NT",cherie.gibbens@education.nt.gov.au
Ampilatwatja School,"N/A, Ampilatwatja (Ammaroo), NT",", PMB 84, Alice Springs, 0872, NT",admin.ampilat@education.nt.gov.au
Alyarrmandumanja Umbakumba School,"N/A, Umbakumba, NT","PO Box 698, Alyangula, 0885, NT",admin.umbakumba@education.nt.gov.au
Amanbidji School,"N/A, Amanbidgi (Kildirk), NT","PMB 16, via Katherine, 0851, NT",carolyn.tucker@education.nt.gov.au
